latitude,longitude,name
45.2533,-93.2928,ANDOVER 1N
44.8497,-93.5644,CHANHASSEN WSFO
45.0469,-93.7772,DELANO
45.3053,-93.5844,ELK RVR
44.6661,-93.1756,FARMINGTON 3NW
45.3317,-92.8983,FOREST LAKE 5NE
44.7597,-92.8689,HASTINGS DAM 2
44.65,-93.6356,JORDAN 1SSW
44.9783,-93.2469,LOWER ST ANTHONY FALLS
45.01,-93.3792,NEW HOPE
44.6103,-92.61,RED WING DAM 3
44.7167,-93.0981,ROSEMOUNT RSCH & OUTREACH CTR
45.0456,-92.8522,STILLWATER 2SW
44.9903,-93.18,U OF MN ST PAUL
45.0483,-93.0958,VADNAIS LAKE
44.8853,-93.2314,MINNEAPOLIS-ST PAUL INTL AP
44.9322,-93.0558,ST PAUL DWTN AP
45.0622,-93.3511,MINNEAPOLIS CRYSTAL AP
44.8322,-93.4706,MINNEAPOLIS FLYING CLOUD AP
